Site	N	S	NmaxObs	NmaxPred_geom	evennessObs	evennessPred_geom	skewnessObs	skewnessPred_geom	ll_geom	r2_geom	site_name	NmaxPred_mete	evennessPred_mete	skewnessPred_mete	p_mete	ll_mete	r2_mete	NmaxPred_lognorm	evennessPred_lognorm	skewnessPred_lognorm	mu_lognorm	sigma_lognorm	ll_lognorm	r2_lognorm	NmaxPred_zipf	evennessPred_zipf	skewnessPred_zipf	gamma_zif	ll_zipf	r2_zipf
102	8798	12	8733	2329.0	0.0846	0.5457	0.6036812960719999	0.34416935306100005	-91.16021609479999	-2.9482727783	'700114458.may1'	4904	0.2039	0.525416990938	0.999935709183	-43.2742385939	-0.667583191761	247	0.1227	0.596935974736	-44.644770043	10.0217047574	-35.1497440909	0.809268423365	198	0.1341	0.593939744322	1.54592509985	-35.6661583629	0.77984095659
103	5618	29	5481	785.0	0.0362	0.5241	0.785454259728	0.398606656193	-181.65164232900003	-3.83819814871	'700024970.may1'	1910	0.1773	0.6241920724719999	0.9993043407860001	-92.669073831	-1.0459210773999998	669	0.0591	0.7734095231370001	-47.5543974447	9.8640807502	-73.8985823949	0.928343529295	323	0.0753	0.7650828047220001	1.64433367482	-73.8978556105	0.8962719752959999
104	4059	92	1058	228.0	0.0746	0.5147	0.798016129315	0.439302830407	-439.34451818	-0.276414237947	'700101928.may1'	574	0.1988	0.6702376465690001	0.995892039469	-314.346995958	0.6867712688840001	4643	0.0269	0.9858655864589999	-6.826359675009999	4.6637750875	-298.93712961	0.980814445408	22831	0.016	1.01094705485	1.4933426018	-299.668064139	0.949442031734
106	3115	80	1250	196.0	0.0531	0.5173	0.8556524465500001	0.43536100936000005	-371.92042737800006	-0.556205481116	'700034059.may1'	475	0.2063	0.659263632418	0.9952157899580001	-253.083222905	0.510767637762	3475	0.0263	0.967505850048	-15.1019720552	6.0406794301	-232.070085856	0.982418993046	5122	0.0219	0.977171607976	1.55949898461	-232.48925368599998	0.974435783011
109	2790	51	1243	251.0	0.0658	0.5191	0.752456883882	0.421347538243	-254.63153785400002	-0.8738957733849999	'700113640.may1'	598	0.2003	0.6425306188409999	0.996834436116	-167.299929617	0.38138962290600004	1474	0.0442	0.872524022745	-8.8279259865	4.9090688267400004	-152.684321957	0.972075725605	2994	0.0325	0.888255302767	1.54186682738	-152.61454680399999	0.972882688877
110	4233	62	2258	327.0	0.0401	0.5158	0.8230102346379999	0.427724510002	-323.402690357	-1.39285686909	'700032160.may1'	825	0.1888	0.6598186545870001	0.9975734838760001	-207.117138832	0.172520484555	844	0.0572	0.882747201574	-3.25291424481	3.44274603328	-187.22155932799998	0.948641618004	4812	0.0263	0.928071415942	1.53497261616	-187.68948759	0.9513297100120001
111	9580	137	4143	390.0	0.0237	0.5104	0.9252729432019999	0.447294077967	-717.916620306	-3.46974182649	'700108268.may1'	1098	0.1778	0.7007707227359999	0.997641774934	-380.92839270699994	-1.1304907232299999	1409	0.0219	1.0642965539700002	-27.671801204899996	6.9362868824	-286.74419103	0.945458827878	752	0.0298	1.05349845183	1.78664689743	-287.698358143	0.911303770372
113	7645	67	3443	557.0	0.0484	0.5141	0.813162558204	0.43017574527400004	-384.092219405	-1.65891363852	'700102897.may1'	1508	0.172	0.676287512025	0.9986799565600001	-221.744138837	0.028952784749400003	3485	0.026000000000000002	0.9408812329549999	-44.348132155600005	9.6670408458	-189.692762899	0.9529279500200001	3141	0.0269	0.9403997109059999	1.57077851308	-191.159884035	0.939219539541
116	2286	26	1261	346.0	0.0921	0.5279	0.650085608951	0.39295760228200005	-142.23959968399998	-0.807466615871	'700099567.may1'	766	0.2018	0.600453124364	0.998241049897	-95.69767618600001	0.452368927942	902	0.0787	0.7393529489480001	-3.7862165168599997	4.027611264119999	-90.19764708379999	0.925903500288	3215	0.0519	0.758529041848	1.45874353975	-90.3560632933	0.9307157339859999
119	6989	64	5960	528.0	0.0213	0.5145	0.9390404438950001	0.428915015053	-364.07148904699994	-2.4379148874400003	'700109433.may1'	1412	0.1739	0.672565172015	0.998610019375	-217.26427616799998	-0.235113093345	821	0.0568	0.8876728450579999	-3.3126391362199996	3.4333436184	-191.219074208	0.940780510091	4605	0.0259	0.933920437049	1.54116562649	-191.738948377	0.93601509203
